Rozmiar_tablicy 	 Srednia_liczba_porownan
        10              	42.18
        20              	181.07
        30              	419.65
        40              	757.10
        50              	1193.49
        60              	1729.71
        70              	2368.09
        80              	3108.15
        90              	3940.74
       100              	4883.12
       110              	5918.69
       120              	7049.61
       130              	8288.63
       140              	9615.75
       150              	11061.44
       160              	12595.43
       170              	14238.33
       180              	15962.61
       190              	17798.86
       200              	19743.25
       210              	21779.31
       220              	23906.99
       230              	26143.28
       240              	28488.27
       250              	30922.90
       260              	33463.71
       270              	36091.41
       280              	38835.46
       290              	41658.43
       300              	44598.68
       310              	47637.62
       320              	50785.01
       330              	54013.30
       340              	57324.06
       350              	60795.77
       360              	64308.99
       370              	67959.16
       380              	71669.10
       390              	75513.30
       400              	79456.36
       410              	83484.18
       420              	87636.29
       430              	91872.86
       440              	96194.83
       450              	100618.16
       460              	105172.16
       470              	109814.66
       480              	114528.15
       490              	119373.91
       500              	124300.41
       510              	129337.50
       520              	134488.61
       530              	139731.52
       540              	145049.57
       550              	150466.32
       560              	156036.27
       570              	161678.98
       580              	167393.48
       590              	173242.54
       600              	179197.38
       610              	185202.42
       620              	191363.76
       630              	197578.54
       640              	203915.75
       650              	210372.54
       660              	216903.18
       670              	223516.58
       680              	230253.13
       690              	237123.36
       700              	244031.44
       710              	251069.61
       720              	258213.16
       730              	265431.06
       740              	272751.11
       750              	280207.89
       760              	287768.47
       770              	295390.32
       780              	303100.65
       790              	310946.97
       800              	318889.64
       810              	326960.88
       820              	335091.19
       830              	343290.09
       840              	351641.11
       850              	360052.41
       860              	368623.20
       870              	377227.56
       880              	385985.85
       890              	394769.21
       900              	403725.01
       910              	412795.40
       920              	421924.78
       930              	431147.28
       940              	440511.30
       950              	449940.17
       960              	459444.74
       970              	469088.46
       980              	478796.46
       990              	488671.50
      1000              	498573.89
