Rozmiar tablicy 	 Srednia liczba porownan
        10              	5.16
        20              	9.32
        30              	15.74
        40              	19.97
        50              	24.09
        60              	28.09
        70              	35.25
        80              	42.81
        90              	47.10
       100              	49.89
       110              	60.52
       120              	62.34
       130              	65.72
       140              	72.28
       150              	79.54
       160              	75.46
       170              	82.37
       180              	90.15
       190              	99.47
       200              	96.11
       210              	103.41
       220              	105.01
       230              	116.52
       240              	111.39
       250              	117.64
       260              	135.95
       270              	143.09
       280              	134.70
       290              	148.99
       300              	155.69
       310              	150.94
       320              	162.84
       330              	174.09
       340              	185.43
       350              	178.98
       360              	209.80
       370              	189.94
       380              	191.35
       390              	199.31
       400              	213.63
       410              	193.00
       420              	206.13
       430              	217.42
       440              	225.36
       450              	228.15
       460              	215.93
       470              	252.78
       480              	251.72
       490              	269.74
       500              	261.62
       510              	238.45
       520              	270.26
       530              	259.63
       540              	277.50
       550              	272.76
       560              	298.49
       570              	258.37
       580              	293.86
       590              	313.94
       600              	295.87
       610              	285.16
       620              	313.16
       630              	327.31
       640              	294.31
       650              	340.64
       660              	371.00
       670              	328.65
       680              	358.64
       690              	374.58
       700              	379.42
       710              	354.14
       720              	379.11
       730              	333.91
       740              	381.45
       750              	368.84
       760              	398.05
       770              	372.56
       780              	390.80
       790              	400.49
       800              	386.43
       810              	407.20
       820              	429.21
       830              	388.27
       840              	443.22
       850              	382.92
       860              	419.46
       870              	479.67
       880              	450.01
       890              	435.51
       900              	451.31
       910              	463.92
       920              	416.20
       930              	466.83
       940              	435.37
       950              	512.82
       960              	511.64
       970              	491.84
       980              	555.13
       990              	496.30
      1000              	479.01
